ville;cp;longitude;latitude;departement
ACQUEVILLE;50440;-1.7495721;49.6096027;50
AGNEAUX;50180;-1.1060495;49.1193298;50
AGON COUTAINVILLE;50230;-1.5855227;49.0405483;50
AIREL;50680;-1.0794452;49.2180947;50
AMFREVILLE;50480;-1.392828;49.4102926;50
AMIGNY;50620;-1.1794758;49.15542;50
ANCTEVILLE;50200;-1.4783673;49.1033319;50
ANCTOVILLE SUR BOSCQ;50400;-1.5326125;48.8437275;50
ANGEY;50530;-1.4898935;48.7517169;50
ANGOVILLE AU PLAIN;50480;-1.2532798;49.3490533;50
ANGOVILLE EN SAIRE;50330;-1.3777922;49.690165;50
ANGOVILLE SUR AY;50430;-1.5488264;49.2530172;50
ANNEVILLE EN SAIRE;50760;-1.2863365;49.635587;50
ANNEVILLE SUR MER;50560;-1.5808048;49.118393;50
ANNOVILLE;50660;-1.5362153;48.9665704;50
APPEVILLE;50500;-1.3431159;49.3215307;50
ARDEVON;50170;-1.4743794;48.6025741;50
ARGOUGES;50240;-1.3969229;48.5030758;50
AUCEY LA PLAINE;50170;-1.479164;48.5275188;50
AUDERVILLE;50440;-1.9320415;49.7114524;50
AUDOUVILLE LA HUBERT;50480;-1.242277;49.4088256;50
AUMEVILLE LESTRE;50630;-1.3210015;49.5397428;50
AUVERS;50500;-1.3274815;49.2940014;50
AUXAIS;50500;-1.2963433;49.2151902;50
AVRANCHES;50300;-1.3553205;48.683775;50
AZEVILLE;50310;-1.3136014;49.4591997;50
BACILLY;50530;-1.4417239;48.7004833;50
LA BALEINE;50450;-1.3176169;48.9241455;50
BARENTON;50720;-0.833287;48.5993982;50
BARFLEUR;50760;-1.2655143;49.6696377;50
BARNEVILLE CARTERET;50270;-1.7518464;49.3812727;50
LA BARRE DE SEMILLY;50810;-1.0341263;49.1116682;50
BEAUBIGNY;50270;-1.8222208;49.4291066;50
BAUDRE;50000;-1.0730072;49.0902593;50
BAUDREVILLE;50250;-1.631767;49.3048594;50
BAUPTE;50500;-1.3580661;49.306084;50
LA BAZOGE;50520;-1.0271869;48.6463283;50
BEAUCHAMPS;50320;-1.3595439;48.8323532;50
BEAUCOUDRAY;50420;-1.142189;48.9581902;50
BEAUFICEL;50150;-0.960694;48.7404213;50
BEAUMONT HAGUE;50440;-1.8390941;49.6626752;50
BEAUVOIR;50170;-1.5039273;48.5981714;50
BELLEFONTAINE;50520;-0.9739905;48.6889623;50
BELVAL;50210;-1.3637252;49.0393825;50
BENOITVILLE;50340;-1.7802633;49.5276817;50
BERIGNY;50810;-0.9405585;49.1427425;50
LA BESLIERE;50320;-1.4109685;48.823808;50
BESLON;50800;-1.1511008;48.8485373;50
BESNEVILLE;50390;-1.6279309;49.367848;50
BEUVRIGNY;50420;-1.0017508;48.968534;50
BEUZEVILLE AU PLAIN;50480;-1.2855372;49.431375;50
BEUZEVILLE LA BASTILLE;50360;-1.3750767;49.3562023;50
LES BIARDS;50540;-1.1862429;48.5835694;50
BIEVILLE;50160;-0.889225;49.084135;50
BINIVILLE;50390;-1.4780903;49.4273866;50
BION;50140;-0.9215778;48.6195521;50
BIVILLE;50440;-1.8217954;49.6133977;50
BLAINVILLE SUR MER;50560;-1.5835081;49.0655758;50
BLOSVILLE;50480;-1.2893549;49.3727681;50
LA BLOUTIERE;50800;-1.2390901;48.8749707;50
BOISROGER;50200;-1.5321289;49.0904215;50
BOISYVON;50800;-1.1283949;48.8054958;50
BOLLEVILLE;50250;-1.5666667;49.3;50
LA BONNEVILLE;50360;-1.4545642;49.3931488;50
BOUCEY;50170;-1.4987897;48.5394591;50
JULLOUVILLE;50610;-1.5316052;48.7642359;50
LA BOULOUZE;50220;-1.2118243;48.6777706;50
BOURGUENOLLES;50800;-1.2976447;48.8049926;50
BOUTTEVILLE;50480;-1.2568637;49.3901873;50
BRAFFAIS;50870;-1.2621317;48.7563193;50
BRAINVILLE;50200;-1.5000357;49.0853486;50
BRANVILLE HAGUE;50440;-1.7868622;49.6547415;50
BRECEY;50370;-1.1670699;48.7246147;50
BRECTOUVILLE;50160;-1.0218978;49.0221365;50
BREHAL;50290;-1.5126988;48.8994744;50
BRETTEVILLE EN SAIRE;50110;-1.5308831;49.6538492;50
BRETTEVILLE SUR AY;50430;-1.6327318;49.2603012;50
BREUVILLE;50260;-1.6737361;49.536733;50
BREVANDS;50500;-1.1911352;49.3306752;50
BREVILLE SUR MER;50290;-1.5563436;48.8647206;50
BRICQUEBEC;50260;-1.6305538;49.4706701;50
BRICQUEBOSQ;50340;-1.7176656;49.5370147;50
BRICQUEVILLE LA BLOUETTE;50200;-1.480207;49.0337926;50
BRICQUEVILLE SUR MER;50290;-1.5213577;48.9126773;50
BRILLEVAST;50330;-1.4142584;49.628085;50
BRIX;50700;-1.5801276;49.5448072;50
BROUAINS;50150;-0.9682655;48.7211702;50
BRUCHEVILLE;50480;-1.20545;49.3736077;50
BUAIS;50640;-0.969523;48.5224795;50
CAMBERNON;50200;-1.3853455;49.0809555;50
CAMETOURS;50570;-1.2800837;49.0692767;50
CAMPROND;50210;-1.3477699;49.0884655;50
CANISY;50750;-1.1750567;49.0763008;50
CANTELOUP;50330;-1.3519922;49.6453685;50
CANVILLE LA ROCQUE;50580;-1.6362196;49.3438131;50
CARANTILLY;50570;-1.241001;49.0664549;50
CARENTAN;50500;-1.2477965;49.3032491;50
CARNET;50240;-1.3573545;48.5097557;50
CARNEVILLE;50330;-1.4490941;49.6663583;50
CAROLLES;50740;-1.5609056;48.7462601;50
CARQUEBUT;50480;-1.3287997;49.3718404;50
CATTEVILLE;50390;-1.5717376;49.3551819;50
CAVIGNY;50620;-1.1081024;49.1931842;50
CATZ;50500;-1.1802895;49.3111246;50
CEAUX;50220;-1.3863159;48.6318374;50
CERENCES;50510;-1.4356092;48.9165712;50
CERISY LA FORET;50680;-0.9370691;49.1947516;50
CERISY LA SALLE;50210;-1.2835324;49.0258827;50
LA CHAISE BEAUDOIN;50370;-1.2361382;48.7641841;50
CHALANDREY;50540;-1.2175222;48.6167306;50
LES CHAMBRES;50320;-1.3881823;48.7663953;50
CHAMPCERVON;50320;-1.3948836;48.776892;50
CHAMPCEY;50530;-1.4472331;48.7259396;50
CHAMPEAUX;50530;-1.5273672;48.7390526;50
CHAMPREPUS;50800;-1.3192293;48.8337961;50
LES CHAMPS DE LOSQUE;50620;-1.2306333;49.1837351;50
CHANTELOUP;50510;-1.4867769;48.8984815;50
LA CHAPELLE CECELIN;50800;-1.1614826;48.8109879;50
LA CHAPELLE DU FEST;50160;-0.974411;49.0599625;50
LA CHAPELLE EN JUGER;50570;-1.2161371;49.1281419;50
LA CHAPELLE UREE;50370;-1.1498766;48.66685;50
CHASSEGUEY;50520;-1.0764013;48.6474455;50
CHAVOY;50870;-1.3327357;48.7276887;50
CHEF DU PONT;50480;-1.3424888;49.3866525;50
LE CHEFRESNE;50410;-1.1540781;48.9037769;50
CHERBOURG;50100;-1.613426;49.633998;50
CHERENCE LE HERON;50800;-1.1954311;48.8023618;50
CHERENCE LE ROUSSEL;50520;-1.0180556;48.7086923;50
LES CHERIS;50220;-1.2564748;48.6340846;50
CHEVREVILLE;50600;-1.0468372;48.6139987;50
CHEVRY;50420;-1.1202039;48.9690477;50
CLITOURPS;50330;-1.3738613;49.657132;50
COIGNY;50250;-1.3781034;49.318672;50
LA COLOMBE;50800;-1.1821372;48.874431;50
COLOMBY;50700;-1.4938313;49.4552935;50
CONDE SUR VIRE;50890;-1.0107318;49.0469961;50
CONTRIERES;50660;-1.4319673;48.9884493;50
